Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
391,Dejounte Murray,PG,25,SAS,42,42,34.4,8.0,17.8,.449,1.4,4.2,.322,6.6,13.6,.489,.487,1.9,2.6,.730,1.3,7.1,8.5,9.0,2.0,0.4,2.4,2.0,19.3
392,Mike Muscala,C,30,OKC,39,0,13.5,2.7,5.8,.462,1.7,3.8,.433,1.0,1.9,.520,.607,1.1,1.3,.880,0.4,2.5,2.9,0.5,0.4,0.6,0.3,1.3,8.1
393,Svi Mykhailiuk,SF,24,TOR,38,5,16.9,2.2,5.3,.408,0.9,2.9,.315,1.2,2.4,.522,.495,0.7,0.8,.844,0.5,1.8,2.3,1.1,0.6,0.1,0.7,1.2,5.9
394,Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
395,Larry Nance Jr.,PF,29,POR,37,11,23.2,2.8,5.4,.515,0.5,1.7,.306,2.2,3.7,.610,.563,0.9,1.3,.653,1.6,4.1,5.6,2.0,1.0,0.4,0.7,1.8,6.9
396,RJ Nembhard Jr.,SG,22,CLE,6,0,7.0,0.8,1.8,.455,0.0,0.2,.000,0.8,1.7,.500,.455,0.2,0.3,.500,0.0,0.3,0.3,1.7,0.0,0.0,0.2,0.3,1.8
397,Aaron Nesmith,SF,22,BOS,32,1,10.5,1.2,3.3,.365,0.5,2.1,.235,0.7,1.1,.611,.442,0.3,0.4,.769,0.3,1.5,1.8,0.3,0.3,0.1,0.6,1.3,3.2
398,Raul Neto,PG,29,WAS,40,0,19.8,2.9,6.6,.447,0.4,1.7,.224,2.6,4.9,.523,.475,1.1,1.5,.759,0.2,1.9,2.0,2.6,0.7,0.0,1.3,1.5,7.3
399,Malik Newman,PG,24,CLE,1,0,8.0,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0
400,Georges Niang,PF,28,PHI,42,5,23.1,3.4,7.9,.429,1.9,5.0,.386,1.5,2.9,.504,.551,0.9,1.0,.878,0.4,2.4,2.7,1.4,0.5,0.2,0.7,2.6,9.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
401,Daishen Nix,SG,19,HOU,8,0,8.4,1.6,2.5,.650,0.4,0.9,.429,1.3,1.6,.769,.725,0.1,0.4,.333,0.1,1.1,1.3,1.3,0.9,0.0,1.1,0.4,3.8
402,Zeke Nnaji,PF,21,DEN,29,0,15.0,2.2,4.3,.500,0.9,1.9,.491,1.2,2.4,.507,.607,1.0,1.6,.630,1.2,2.2,3.3,0.3,0.2,0.3,0.3,1.8,6.3
403,Nerlens Noel,C,27,NYK,20,11,23.5,1.5,2.7,.547,0.0,0.2,.000,1.5,2.5,.580,.547,0.8,1.1,.714,2.3,4.0,6.3,0.8,1.2,1.4,0.8,2.7,3.7
404,Jaylen Nowell,SG,22,MIN,31,0,14.5,3.2,6.6,.488,0.9,2.3,.380,2.4,4.3,.545,.554,1.0,1.4,.727,0.3,1.8,2.1,2.1,0.5,0.2,0.5,1.1,8.4
405,Frank Ntilikina,PG,23,DAL,36,5,12.8,1.5,4.1,.374,0.8,2.1,.355,0.8,2.0,.394,.466,0.5,0.5,1.000,0.2,1.2,1.4,1.3,0.6,0.1,0.6,1.1,4.3
406,Jusuf Nurkić,C,27,POR,43,43,27.2,5.4,10.1,.540,0.2,1.0,.205,5.2,9.0,.578,.551,3.2,4.6,.694,2.7,8.1,10.8,2.7,1.2,0.6,2.5,3.4,14.3
407,David Nwaba,SF,29,HOU,33,4,14.2,2.0,4.3,.475,0.3,1.1,.286,1.7,3.2,.538,.511,1.0,1.4,.702,0.9,3.0,3.9,0.8,0.7,0.5,0.5,1.2,5.4
408,Jordan Nwora,SF,23,MIL,37,9,20.3,3.3,8.1,.413,1.5,4.1,.375,1.8,3.9,.452,.508,0.4,0.5,.737,0.7,3.4,4.1,1.0,0.5,0.4,1.0,1.2,8.6
409,Royce O'Neale,SF,28,UTA,44,44,31.6,2.6,5.4,.479,1.4,3.6,.399,1.1,1.8,.641,.612,0.7,0.9,.763,0.9,4.3,5.2,2.5,1.3,0.5,0.9,2.5,7.2
410,Semi Ojeleye,PF,27,MIL,17,0,17.1,0.9,3.9,.224,0.5,2.3,.231,0.4,1.6,.214,.291,0.5,0.6,.818,1.5,1.9,3.4,0.3,0.3,0.3,0.3,1.5,2.8
411,Chuma Okeke,PF,23,ORL,37,10,23.7,2.8,7.7,.366,1.3,4.5,.287,1.5,3.2,.479,.451,0.8,0.9,.848,0.6,3.9,4.6,1.4,1.4,0.5,0.8,1.4,7.7
